L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
26255302694075.906,13567611948713.93,-12687690745361.977,138509,14,4,0,0.01,15
12612738337957.594,14197601514426.098,1584863176468.504,138509,14,4,0,0.01,15
12017680926249.014,13283224352259.047,1265543426010.0332,138509,14,4,0,0.01,15
11670359736515.566,13310117474741.678,1639757738226.1113,138509,14,4,0,0.01,15
11408009029658.889,12350518059964.703,942509030305.8145,138509,14,4,0,0.01,15
11240377456339.268,17650269318419.57,6409891862080.303,138509,14,4,0,0.01,15
11139958949442.01,14279022610755.191,3139063661313.1816,138509,14,4,0,0.01,15
11098433134556.492,13619896802260.602,2521463667704.1094,138509,14,4,0,0.01,15
11070434205240.676,11787038048147.191,716603842906.5156,138509,14,4,0,0.01,15
11039971880906.408,12478917069787.486,1438945188881.0781,138509,14,4,0,0.01,15
11031401260818.16,11730739425724.053,699338164905.8926,138509,14,4,0,0.01,15
11023764532579.363,12207579788580.744,1183815256001.3809,138509,14,4,0,0.01,15
11018809387836.785,11864428814194.242,845619426357.457,138509,14,4,0,0.01,15
11017226785068.701,12666040723113.38,1648813938044.6797,138509,14,4,0,0.01,15
11017190533355.44,12216840943518.951,1199650410163.5117,138509,14,4,0,0.01,15
11017188754591.861,11402797940088.54,385609185496.67773,138509,14,4,0,0.01,15
